status,card,type,bucket_path,url
matched,"2 Pipe Snow Data Sheet","Data Sheet","solutions/snow-retention/2-pipe-snow-fence/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fdata-sheet.pdf"
matched,"2 Pipe Snow Installation Sheet","Installation Sheet","solutions/snow-retention/2-pipe-snow-fence/install-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Finstall-sheet.pdf"
matched,"2 Pipe Snow Sales Sheet","Sales Sheet","solutions/snow-retention/2-pipe-snow-fence/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fsales-sheet.pdf"
matched,"2 Pipe Snow Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"2 Pipe Snow Step File","Step File","solutions/snow-retention/2-pipe-snow-fence/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fassembly.step"
matched,"Attached Pipe Frame Data Sheet","Data Sheet","solutions/pipe-frame/attached/data-sheet-24x24-standard.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fdata-sheet-24x24-standard.pdf"
matched,"Attached Pipe Frame Installation Sheet","Installation Sheet","solutions/pipe-frame/attached/install-guide.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Finstall-guide.pdf"
matched,"Attached Pipe Frame Sales Sheet","Sales Sheet","solutions/pipe-frame/attached/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fsales-sheet.pdf"
matched,"Attached Pipe Frame Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Attached Pipe Frame Step File","Step File","solutions/pipe-frame/attached/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fassembly.step"
matched,"Camera Mount Data Sheet","Data Sheet","solutions/camera-mount/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Fdata-sheet.pdf"
matched,"Camera Mount Installation Sheet","Installation Sheet","solutions/camera-mount/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Finstall-manual.pdf"
matched,"Camera Mount Sales Sheet","Sales Sheet","solutions/camera-mount/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fcamera-mount%2Fsales-sheet.pdf"
matched,"Camera Mount Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
