group,subfolder,document,type,url
"U-Anchor U2000","kee","Kee — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fcad.dwg"
"U-Anchor U2000","kee","Kee — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fcase-study.pdf"
"U-Anchor U2000","kee","Kee — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fdata-sheet.pdf"
"U-Anchor U2000","kee","Kee — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Finstall-manual.pdf"
"U-Anchor U2000","kee","Kee — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fsales-sheet.pdf"
"U-Anchor U2000","kee","Kee — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Ftest-report.pdf"
"U-Anchor U2000","pvc","Pvc — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fcad.dwg"
"U-Anchor U2000","pvc","Pvc — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fdata-sheet.pdf"
"U-Anchor U2000","pvc","Pvc — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Finstall-manual.pdf"
"U-Anchor U2000","pvc","Pvc — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fmanufacturer-approval.pdf"
"U-Anchor U2000","pvc","Pvc — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fproduct-data-sheet.pdf"
"U-Anchor U2000","pvc","Pvc — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fsales-sheet.pdf"
"U-Anchor U2000","pvc","Pvc — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Ftest-report.pdf"
"U-Anchor U2000","tpo","Tpo — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcad.dwg"
"U-Anchor U2000","tpo","Tpo — Case Study Carribeanva","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcase-study-carribeanva.pdf"
"U-Anchor U2000","tpo","Tpo — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcase-study.pdf"
"U-Anchor U2000","tpo","Tpo — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fdata-sheet.pdf"
"U-Anchor U2000","tpo","Tpo — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Finstall-manual.pdf"
"U-Anchor U2000","tpo","Tpo — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fmanufacturer-approval.pdf"
"U-Anchor U2000","tpo","Tpo — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fproduct-data-sheet.pdf"
"U-Anchor U2000","tpo","Tpo — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fsales-sheet.pdf"
"U-Anchor U2000","tpo","Tpo — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Ftest-report.pdf"
"U-Anchor U2200","plate","Plate — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fcad.dwg"
"U-Anchor U2200","plate","Plate — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fdata-sheet.pdf"
"U-Anchor U2200","plate","Plate — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fproduct-data-sheet.pdf"
"U-Anchor U2200","plate","Plate — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fsales-sheet.pdf"
"U-Anchor U2200","plate","Plate — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Ftest-report.pdf"
"U-Anchor U2400","epdm","Epdm — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fcad.dwg"
"U-Anchor U2400","epdm","Epdm — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fcase-study.pdf"
